0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,classes
0.25,0.375,0.75,0.875,0.625,1.25,1.375,1.875,1.75,0.25,0.375,0.75,0.875,0.625,0.5,1.0,2.375,2.25,0.25,0.375,0.75,0.875,0.625,1.25,1.375,1.875,1.75,0.25,0.375,0.75,0.875,0.625,1.25,1.375,1.875,1.75,1.4298763190481227,0.5685680724890303,0.6029389556556304,0.3820142466447435,0.40232957859782437,2.9928352552240525,1.4065090644636031,0.7070244482826632,0.4295332952255941,0.22828987748355636,0.12526857134131722,0.3839932145270332,131.49137593143607,59.80277158682905,64.25283575133217,29.160889067959385,115.02180090555645,80.58850806268057,96.17481758259754,24.66833345946914,47.468346183899364,123.54086560846741,58.658696447936926,0.5,1.375,1.75,2.375,3.0,0.375,1.0,2.125,2.75,3.625,0.5,1.625,2.5,3.25,4.5,0.5,1.375,2.0,2.75,3.875,0.5,1.625,2.25,3.0,4.5,0.5,1.375,2.125,3.125,4.0,attentive
0.25,0.375,0.5,1.0,1.125,0.875,0.625,1.25,1.75,0.25,0.375,0.5,1.0,1.125,0.875,1.25,0.625,3.125,0.25,0.375,0.5,1.0,1.125,0.875,0.625,1.25,1.75,0.25,0.375,0.5,1.0,1.125,0.875,0.625,1.25,1.75,4.711883536825704,2.2594861869499083,1.2947978475880586,0.8675787302511625,1.0371414103686625,0.7039541232393401,0.8222478162616775,0.41503392798591876,0.5310454119531346,0.4524352329186402,0.7709506434458846,0.6849377608306196,67.40399710791785,77.31771128848922,90.26886173398378,51.23876257912283,141.2793142599537,204.57578791368056,154.95024303886348,98.23740397852552,314.5972788359715,194.02256042592714,53.311079547627834,0.5,1.25,2.125,3.625,4.25,0.5,2.0,2.875,4.125,5.0,0.5,1.5,3.125,3.875,4.875,0.5,1.75,2.5,3.375,4.25,0.625,1.625,2.375,3.25,4.125,0.75,1.625,2.5,3.25,4.125,attentive
0.25,0.375,0.5,1.0,0.875,1.125,1.75,1.625,0.625,0.25,0.375,0.5,1.0,0.875,1.125,1.75,1.625,0.625,0.25,0.375,0.5,1.0,0.875,1.125,1.75,1.625,0.625,0.25,0.375,0.5,1.0,0.875,1.125,1.75,1.625,0.625,1.331866114134315,1.3726109768621777,2.247863112478945,1.439606926931086,1.4858171644341118,0.8076648970262175,1.4837635953165071,0.8682964928798277,0.604548628703868,0.6185256646323642,0.734231149042884,0.35057324737695034,235.46175885652713,137.50253215042073,103.89671589559887,118.11430367691689,269.9614720752623,223.9569567766176,221.41943326789053,151.88084019045678,385.49934183112595,184.24512518492332,159.26733971752202,0.625,1.5,2.375,3.25,3.875,0.625,1.375,2.25,3.125,4.0,0.75,1.75,2.625,3.625,4.5,0.5,1.375,2.375,3.75,4.75,0.625,1.625,2.5,3.375,4.125,0.5,1.375,2.375,3.25,4.125,attentive
0.25,0.375,0.5,1.0,1.125,0.625,1.25,0.875,1.75,0.25,0.375,0.5,1.0,1.125,0.625,1.25,0.875,1.75,0.25,0.375,0.5,1.0,1.125,0.625,1.25,0.875,1.75,0.25,0.375,0.5,1.0,1.125,0.625,1.25,0.875,1.75,1.0000266386172683,0.8815525905169537,0.8067687415219894,0.42042833968466875,0.27479086367693145,1.0554058503046115,0.7787598545970599,0.29312051017619645,0.16945784096950506,0.30446084237682614,0.14618452104890525,0.3077763452972918,110.31238942766765,30.44956998456223,29.6732325144239,17.18804223136871,82.64835296521467,53.49492981814929,52.341338153036475,34.5948929167605,167.9710833319878,50.38758455737903,35.99670968765773,0.875,2.125,3.125,4.625,6.125,1.0,2.125,4.75,5.625,6.5,0.375,1.25,2.125,3.0,3.75,0.875,2.125,3.75,4.75,5.625,0.875,2.375,4.125,5.5,6.5,1.125,2.125,3.25,4.625,5.75,attentive
0.25,0.375,0.5,0.625,1.125,1.25,1.375,1.0,2.0,0.25,0.375,0.5,0.625,1.125,1.25,1.375,1.0,2.0,0.25,0.375,0.5,0.625,1.125,1.25,1.0,1.375,2.0,0.25,0.375,0.5,0.625,1.125,1.25,1.375,1.0,2.0,1.0748822359341932,0.3517744364398662,0.30544442371503144,0.2522636703793851,0.16052359368373642,0.7074410798869234,0.3907641723049112,0.25891921572962573,0.23884675044256992,0.12508628812639977,0.28236637372083456,0.23705332390264341,35.95701590042727,25.287346504407417,14.295195275539134,20.299297271945328,45.86460148162748,69.1160886999159,39.78111364818114,22.690224528108338,38.97670866332023,15.782591923249107,10.240182054669788,0.625,1.875,3.0,3.875,5.0,1.375,3.25,4.25,5.5,7.125,1.0,2.25,3.25,5.125,6.25,1.5,3.375,4.5,6.25,7.5,1.0,2.125,3.5,5.125,7.5,1.125,2.875,4.125,5.0,6.25,attentive
0.25,0.375,0.5,0.625,0.75,0.875,1.0,1.75,1.875,0.25,0.375,0.5,0.625,0.75,0.875,1.0,1.75,1.875,0.25,0.375,0.5,0.625,0.75,0.875,1.0,1.75,1.875,0.25,0.375,0.5,0.625,0.75,0.875,1.0,1.75,1.875,0.5839902261694139,0.20682898659696172,0.1503527486722201,0.14638775342604005,0.18914507356188126,0.29987218137528027,0.34160582069544965,0.13164756661853572,0.1580275158014735,0.15888155478327637,0.09757647522131777,0.11343782047140304,24.107842145039584,15.477290274784346,15.10412971211386,5.187599469554761,10.115894487555467,12.710877535405857,9.707433713079574,13.379067547684572,15.657536665798448,12.61861801937829,12.400656003868846,0.875,2.5,4.875,5.875,7.5,1.0,2.625,4.25,6.0,6.75,0.625,2.25,4.75,7.0,8.75,1.125,4.25,7.0,9.25,10.75,1.375,4.25,6.5,8.125,10.625,1.5,4.375,5.875,7.375,8.75,attentive
0.25,0.375,0.5,1.0,1.125,0.625,0.875,1.25,1.75,0.25,0.375,0.5,1.0,1.125,0.625,0.875,1.25,1.75,0.25,0.375,0.5,1.0,1.125,0.625,0.875,1.25,1.75,0.25,0.375,0.5,1.0,1.125,0.625,0.875,1.25,1.75,0.9692540053297455,0.6598666518515214,0.29577839471900214,0.40706802303452855,0.2731458754122755,0.17143210951301863,0.7153104603586921,0.23656520900686817,0.2691793852718074,0.22398937247043252,0.364441888073218,0.30636036783210446,28.619725317931017,20.828446161411676,24.140018899303225,19.753215939490097,68.12249670764903,3.256745568179848,25.716921088790237,28.699407057681036,76.41095916438917,36.87151164607554,23.760004781038692,0.5,1.375,2.875,4.25,5.875,0.375,1.25,2.75,3.625,4.375,0.375,1.125,1.875,2.75,4.125,1.5,2.625,3.625,4.5,6.125,0.5,1.5,2.5,3.25,4.25,1.625,2.625,4.125,6.125,7.125,attentive
0.25,0.375,0.5,0.625,1.125,1.25,1.0,1.375,2.0,0.25,0.375,0.5,0.625,1.125,1.25,1.375,1.0,2.0,0.25,0.375,0.5,0.625,1.125,1.25,1.375,1.0,2.0,0.25,0.375,0.5,0.625,1.125,1.25,1.0,1.375,2.0,0.31210447093485694,0.29578387288227104,0.48156233069377397,0.12792310616649805,0.1368672805533241,0.6992429811420745,0.4116850048821383,0.10100343820154706,0.14277308883227835,0.1292278259001486,0.3467973103694126,0.3858633972033453,71.08266103829706,58.409125387392635,51.73065373850463,26.09251555446324,9.595900504194628,33.159574324134184,51.596342397428984,8.572267098602149,95.40847365602856,23.808891309841837,34.87663802416429,0.5,1.75,4.5,6.875,8.125,0.625,1.625,2.625,4.125,5.25,0.875,2.5,3.5,4.25,5.125,0.75,1.875,3.0,4.5,5.625,0.5,1.25,2.125,3.25,5.125,0.5,1.625,4.125,6.0,6.875,attentive
0.25,0.375,0.5,0.625,1.125,1.25,1.0,1.375,2.0,0.25,0.375,0.5,0.625,1.125,1.25,1.0,1.375,2.0,0.25,0.375,0.5,0.625,1.125,1.25,1.0,1.375,2.0,0.25,0.375,0.5,0.625,1.125,1.25,1.0,1.375,2.0,0.5836382871446427,0.5219140537434668,0.32031932453548845,0.4965239609972449,0.5226772879177619,0.4428450015634469,0.37127842996203186,0.3459944091388133,0.1951223256402167,0.07874346813627946,0.3040520574414578,0.053440541572255786,66.1343854388588,32.60737772857948,27.50976132084922,19.433954308343072,51.9874657888795,37.15943738222504,34.49491350472654,13.508773947221894,85.44155835109129,39.8424708287942,23.27556293000706,0.5,1.625,2.875,4.375,5.625,1.25,2.875,3.625,6.625,7.625,1.375,3.125,4.875,6.625,8.5,1.0,3.125,4.25,5.625,7.0,0.625,2.0,3.375,4.625,5.5,1.875,3.125,4.375,5.625,7.75,attentive
0.25,0.375,0.5,1.0,0.875,1.125,1.75,1.625,1.25,0.25,0.375,0.5,1.0,0.875,1.125,1.75,1.625,0.625,0.25,0.375,0.5,1.0,0.875,1.125,1.75,1.625,0.625,0.25,0.375,0.5,1.0,0.875,1.125,1.75,1.625,1.25,0.33967477123114936,0.4907696416996796,0.14045364660485257,0.2525460098734748,0.42572510453215856,0.5892838216835934,0.1624971730520306,0.05571465144928531,0.27704993510988984,0.17479124414704764,0.22248583436470948,0.4961888596565369,80.46338720274946,24.864680406260106,10.566089991472257,8.215805289086608,60.50715613159417,63.146821704749755,46.7031933121281,13.435696590866986,91.48313344897556,84.386433867397,64.70564275365601,0.75,1.5,2.375,3.25,4.0,0.75,1.625,2.625,3.5,4.5,0.625,1.625,2.0,3.125,4.5,1.5,3.0,5.0,6.0,6.75,0.375,1.375,2.25,4.0,6.25,0.625,1.625,2.75,3.625,5.5,attentive
